device_id,device_type,manufacturer,model,firmware_version,firmware_year,firmware_age_years,ip_address,default_credentials,authentication,encryption,rtsp_enabled,rtsp_auth_required,open_ports,open_ports_count,upnp_enabled,internet_facing,behind_firewall,cloud_service,ssl_certificate_valid,password_complexity,failed_login_attempts,vulnerability_count,vulnerabilities,max_cvss_score,avg_cvss_score,exploit_difficulty,total_exploit_steps,risk_score,risk_level,risk_numeric
CCTV-00011,IP Camera,Vivotek,FD9389-EHTV,V22.1.76,2022,4,77.202.67.172,1,no-auth,weak,0,1,"80,443,554,8080",4,0,0,1,0,1,medium,52,4,Default Credentials | Outdated Firmware | Weak Encryption | SQL Injection,9.8,8.73,6.75,27,166.0,Critical,3
CCTV-00012,IP Camera,Uniview,IPC6252SR-X5UG,V17.1.1,2017,9,177.4.153.239,1,no-auth,none,1,0,"80,8000",2,0,0,1,0,0,low,40,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.9,5.4,27,216.0,Critical,3
CCTV-00013,IP Camera,Uniview,IPC322LR3-VSPF40,V24.2.33,2024,2,80.22.1.86,1,strong,strong,1,1,"80,443,554,8000",4,0,1,0,0,1,none,13,1,Default Credentials,9.8,9.8,5.0,5,120.0,Critical,3
CCTV-00014,IP Camera,Hanwha,PNM-9084RQZ,V19.4.20,2019,7,20.183.107.175,0,no-auth,weak,1,0,"443,554",2,1,0,1,1,0,low,10,3,Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.3,6.33,19,148.0,Critical,3
CCTV-00015,IP Camera,Dahua,IPC-HFW2431T,V17.8.52,2017,9,130.113.102.210,0,no-auth,none,1,0,"80,8000,37777",3,1,0,1,0,0,low,63,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.68,5.5,22,184.0,Critical,3
CCTV-00016,IP Camera,Axis,Q1615-E,V16.3.28,2016,10,98.160.223.156,1,basic,weak,0,1,"80,443,554",3,0,1,0,1,0,none,67,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,179.0,Critical,3
CCTV-00017,IP Camera,Vivotek,FD9389-EHTV,V17.9.24,2017,9,114.167.206.179,1,no-auth,strong,0,1,"80,443,554,8080",4,0,0,1,0,0,medium,31,3,Default Credentials | Outdated Firmware | SQL Injection,9.8,9.47,6.0,18,171.0,Critical,3
CCTV-00018,IP Camera,CP Plus,CP-DGC-D13L2,V15.6.85,2015,11,178.43.145.132,0,no-auth,none,1,0,"80,554,8080,9000",4,1,1,1,0,0,medium,54,3,Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.63,5.33,16,185.0,Critical,3
CCTV-00019,IP Camera,Uniview,IPC532E-DL-IN,V15.3.86,2015,11,37.217.112.46,1,no-auth,strong,1,0,"80,554,8000",3,0,0,1,0,0,low,102,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | SQL Injection,9.8,9.25,5.25,21,192.0,Critical,3
CCTV-00020,IP Camera,Hanwha,QNV-7080R,V18.8.31,2018,8,170.122.140.113,0,basic,strong,1,1,"80,443,554,4520",4,0,1,1,0,0,medium,70,1,Outdated Firmware,9.8,9.8,7.0,7,103.0,Critical,3
CCTV-00021,IP Camera,Hikvision,DS-2CD1623G,V16.5.40,2016,10,157.194.244.2,1,strong,weak,1,1,"80,443,8000",3,1,1,1,0,0,high,149,4,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow,9.8,8.8,8.25,33,187.0,Critical,3
CCTV-00022,IP Camera,CP Plus,CP-UVR-0401E1,V20.6.68,2020,6,169.13.201.152,0,basic,weak,1,1,"554,8080,9000",3,1,0,1,1,0,medium,42,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,110.0,Critical,3
CCTV-00023,IP Camera,Vivotek,IB9389-EHT,V15.6.17,2015,11,99.114.35.200,0,basic,weak,1,1,"443,554,8080",3,1,0,1,0,0,none,120,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,125.0,Critical,3
CCTV-00024,IP Camera,Uniview,IPC2124SR3-PF40,V20.3.25,2020,6,89.55.13.238,0,basic,strong,1,1,"443,554",2,1,0,1,0,1,medium,29,2,Outdated Firmware | Path Traversal,9.8,8.8,6.0,12,105.0,Critical,3
CCTV-00025,NVR,CP Plus,CP-PLUS-16CH-DVR,V19.6.50,2019,7,27.174.6.218,0,basic,none,0,1,"80,554,8080",3,1,0,1,1,0,medium,88,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,128.0,Critical,3
CCTV-00026,IP Camera,Axis,P3265-LVE,V15.5.81,2015,11,155.194.172.8,0,basic,weak,1,1,"80,443,554",3,1,0,1,0,1,low,22,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,120.0,Critical,3
CCTV-00027,IP Camera,Axis,Q1615-E,V16.3.45,2016,10,33.150.113.104,0,basic,none,0,1,"80,443,554",3,1,0,1,0,0,medium,121,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,137.0,Critical,3
CCTV-00028,NVR,Uniview,NVR304-32E-B,V16.9.47,2016,10,80.144.51.214,1,no-auth,weak,0,1,"443,554,8000",3,1,1,1,1,1,high,137,4,Default Credentials | Outdated Firmware | Weak Encryption | SQL Injection,9.8,8.73,6.75,27,202.0,Critical,3
CCTV-00029,NVR,Dahua,NVR5208-8P,V16.2.38,2016,10,185.27.77.39,1,no-auth,weak,0,1,"80,554,8000,37777",4,1,1,1,0,0,none,122,4,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow,9.8,8.8,8.25,33,207.0,Critical,3
CCTV-00030,IP Camera,Hanwha,QND-7082R,V15.3.15,2015,11,64.135.41.41,0,basic,none,1,1,"80,443,554,4520",4,0,0,1,0,1,high,25,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,142.0,Critical,3
CCTV-00031,IP Camera,Dahua,IPC-HDW1431S,V18.2.0,2018,8,78.72.36.16,1,no-auth,weak,1,0,"80,443,554,8000",4,0,0,1,0,0,low,50,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.68,6.0,24,183.0,Critical,3
CCTV-00032,NVR,Dahua,NVR5208-8P,V19.9.36,2019,7,157.10.137.148,1,basic,weak,1,1,"80,443,8000,37777",4,1,0,1,0,0,none,6,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,153.0,Critical,3
CCTV-00033,IP Camera,Hikvision,DS-2CD2085FWD,V18.7.35,2018,8,126.45.161.65,1,no-auth,none,1,0,"554,8080",2,1,1,1,1,1,low,126,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.93,5.25,21,211.0,Critical,3
CCTV-00034,IP Camera,CP Plus,CP-UNC-DA41L3,V25.6.65,2025,1,188.248.62.8,0,strong,weak,1,1,"554,9000",2,0,1,1,0,1,high,33,1,Weak Encryption,6.5,6.5,9.0,9,60.5,High,2
CCTV-00035,NVR,Uniview,NVR304-32E-B,V20.4.70,2020,6,72.233.74.99,1,basic,strong,0,1,"80,443",2,1,1,0,1,0,medium,106,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,160.0,Critical,3
CCTV-00036,IP Camera,Dahua,SD22204UE-GN,V18.2.8,2018,8,149.193.233.239,1,no-auth,weak,0,1,"80,554,8000,37777",4,0,0,1,0,0,medium,114,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,168.0,Critical,3
CCTV-00037,IP Camera,CP Plus,CP-EAC-T24PL2,V25.3.73,2025,1,13.73.209.223,1,basic,strong,1,1,"80,443,554,8080,9000",5,0,1,1,1,0,none,112,1,Default Credentials,9.8,9.8,5.0,5,107.0,Critical,3
CCTV-00038,IP Camera,Uniview,IPC672LR-AX4DUPK,V15.4.43,2015,11,35.227.85.178,1,basic,strong,1,1,"80,443,554,8000",4,1,1,1,1,0,low,23,3,Default Credentials | Outdated Firmware | Buffer Overflow,9.8,9.57,8.0,24,175.0,Critical,3
CCTV-00039,IP Camera,CP Plus,CP-UNC-TA21L3,V15.0.37,2015,11,75.4.238.231,1,basic,weak,1,1,"80,443,9000",3,1,0,1,1,0,none,149,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,165.0,Critical,3
CCTV-00040,IP Camera,CP Plus,CP-DGC-D13L2,V15.7.44,2015,11,12.25.254.214,0,basic,none,0,1,"80,443,554,8080,9000",5,1,0,1,0,0,none,75,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,140.0,Critical,3
CCTV-00041,IP Camera,CP Plus,CP-EAC-T24PL2,V19.5.28,2019,7,43.187.139.213,1,no-auth,none,0,1,"80,443,9000",3,0,1,0,1,1,medium,83,4,Default Credentials | Outdated Firmware | No Encryption | SQL Injection,9.8,8.98,6.0,24,215.0,Critical,3
CCTV-00042,NVR,Dahua,NVR5208-8P,V23.7.37,2023,3,77.195.190.28,0,strong,strong,0,1,"554,8000,37777",3,0,0,1,0,1,low,116,0,None,0.0,0.0,0.0,0,9.0,Low,0
CCTV-00043,NVR,Uniview,NVR304-32E-B,V18.9.71,2018,8,181.214.79.227,1,no-auth,none,1,0,"443,554,8000",3,1,0,1,1,1,none,29,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.9,5.4,27,216.0,Critical,3
CCTV-00044,IP Camera,Axis,M2026-LE,V21.9.52,2021,5,58.62.232.24,0,strong,weak,1,1,"80,443,554",3,0,0,1,1,0,low,15,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,99.0,Critical,3
CCTV-00045,NVR,Uniview,NVR304-32E-B,V19.9.2,2019,7,43.128.89.29,1,basic,none,0,1,"80,8000",2,1,1,1,1,0,low,0,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,178.0,Critical,3
CCTV-00046,IP Camera,Uniview,IPC2124SR3-PF40,V15.5.30,2015,11,87.234.15.16,1,strong,weak,1,1,"80,443,8000",3,1,1,1,0,0,medium,11,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,175.0,Critical,3
CCTV-00047,IP Camera,Axis,M3067-P,V17.1.62,2017,9,189.58.110.111,0,basic,none,1,1,"80,554",2,1,1,0,0,0,low,135,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,159.0,Critical,3
CCTV-00048,IP Camera,Axis,M3116-LVE,V17.7.51,2017,9,153.168.62.106,0,strong,weak,0,1,"80,443,554",3,1,0,1,1,0,medium,95,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,119.0,Critical,3
CCTV-00049,IP Camera,CP Plus,CP-E24A,V22.0.36,2022,4,178.136.14.47,0,basic,weak,1,1,"80,443,554,8080,9000",5,0,0,1,0,0,none,142,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,96.0,Critical,3
CCTV-00050,IP Camera,CP Plus,CP-UVR-0401E1,V23.5.0,2023,3,49.80.25.173,1,strong,strong,1,1,"80,9000",2,0,1,1,0,1,medium,145,1,Default Credentials,9.8,9.8,5.0,5,108.0,Critical,3
CCTV-00051,IP Camera,Hikvision,DS-2CD1623G,V17.6.62,2017,9,45.130.148.84,1,basic,weak,1,1,"80,554,8000,8080",4,1,0,1,1,1,none,14,4,Default Credentials | Outdated Firmware | Weak Encryption | Path Traversal,9.8,8.48,6.5,26,169.0,Critical,3
CCTV-00052,IP Camera,Hikvision,DS-2CD2043G,V18.6.22,2018,8,93.87.235.213,1,no-auth,weak,1,0,"80,443,554,8080",4,1,1,1,0,1,medium,103,6,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | SQL Injection | Path Traversal,9.8,8.55,5.83,35,226.0,Critical,3
CCTV-00053,IP Camera,Uniview,IPC532E-DL-IN,V15.1.31,2015,11,70.52.74.66,1,basic,strong,0,1,"80,443,554,8000",4,1,1,0,0,0,medium,89,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,175.0,Critical,3
CCTV-00054,IP Camera,Dahua,IPC-HDW1431S,V19.1.22,2019,7,19.29.188.213,0,no-auth,weak,1,0,"80,443,554,8000,37777",5,1,0,1,0,0,low,14,4,Outdated Firmware | Exposed RTSP Stream | Weak Encryption | SQL Injection,9.8,8.43,6.25,25,163.0,Critical,3
CCTV-00055,IP Camera,CP Plus,CP-UNC-DA41L3,V19.1.78,2019,7,175.88.20.64,1,basic,none,0,1,"8080,9000",2,1,1,1,0,1,high,87,4,Default Credentials | Outdated Firmware | No Encryption | Path Traversal,9.8,8.72,5.75,23,188.0,Critical,3
CCTV-00056,IP Camera,Uniview,IPC672LR-AF60-B,V25.8.66,2025,1,99.158.200.34,0,strong,weak,1,1,"80,554,8000",3,1,1,0,1,1,low,38,2,Weak Encryption | Command Injection,9.9,8.2,6.5,13,115.5,Critical,3
CCTV-00057,IP Camera,Vivotek,FD9389-EHTV,V16.6.82,2016,10,35.19.172.225,0,no-auth,none,0,1,"80,443,554,8080",4,1,1,0,1,0,low,49,4,Outdated Firmware | No Encryption | Buffer Overflow | SQL Injection,9.8,8.8,7.75,31,212.0,Critical,3
CCTV-00058,IP Camera,Hanwha,PNM-9084RQZ,V19.2.20,2019,7,130.99.188.174,1,no-auth,none,0,1,"80,443,554,4520",4,1,1,0,1,0,low,114,4,Default Credentials | Outdated Firmware | No Encryption | SQL Injection,9.8,8.98,6.0,24,228.0,Critical,3
CCTV-00059,IP Camera,Vivotek,MD8563-EH,V18.4.99,2018,8,141.75.223.24,1,no-auth,none,0,1,"80,443,554,8080",4,0,0,1,0,1,low,31,4,Default Credentials | Outdated Firmware | No Encryption | SQL Injection,9.8,8.98,6.0,24,193.0,Critical,3
CCTV-00060,IP Camera,Dahua,IPC-HFW5831E,V22.0.53,2022,4,45.240.229.158,1,basic,strong,0,1,"80,443,8000,37777",4,0,1,1,0,1,medium,120,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,126.0,Critical,3
CCTV-00061,IP Camera,Hikvision,DS-2CD2143G,V15.3.19,2015,11,46.149.219.1,1,no-auth,none,1,0,"80,554,8000,8080",4,1,1,0,0,0,medium,127,6,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow | Path Traversal,9.8,8.77,6.33,38,270.0,Critical,3
CCTV-00062,IP Camera,Vivotek,FE8182,V16.6.23,2016,10,158.170.68.12,0,strong,none,1,1,"80,443,554,8080",4,1,1,0,0,1,low,88,3,Outdated Firmware | No Encryption | Path Traversal,9.8,8.37,6.0,18,172.0,Critical,3
CCTV-00063,IP Camera,CP Plus,CP-DGC-D13L2,V17.2.99,2017,9,175.97.146.92,1,no-auth,weak,1,0,"80,443,8080",3,1,1,0,1,1,low,131,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Path Traversal,9.8,8.5,5.8,29,229.0,Critical,3
CCTV-00064,IP Camera,Hanwha,XNP-6320H,V22.5.34,2022,4,164.92.150.83,1,basic,none,0,1,"80,443,554",3,0,1,1,1,1,none,108,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,156.0,Critical,3
CCTV-00065,IP Camera,Hikvision,DS-2CD2143G,V17.4.39,2017,9,46.224.17.33,1,no-auth,weak,1,0,"80,443,554,8000,8080",5,1,0,1,0,1,low,103,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.68,6.0,24,189.0,Critical,3
CCTV-00066,IP Camera,Hikvision,DS-2CD1023G,V21.5.46,2021,5,109.60.134.199,1,basic,weak,0,1,"80,443,554,8080",4,0,1,1,1,0,low,47,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,149.0,Critical,3
CCTV-00067,IP Camera,CP Plus,CP-USC-TA13L2,V16.9.36,2016,10,84.153.80.183,1,no-auth,weak,1,0,"8080,9000",2,0,0,1,1,1,medium,81,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.68,6.0,24,184.0,Critical,3
CCTV-00068,IP Camera,Uniview,IPC672LR-AX4DUPK,V21.8.28,2021,5,132.210.209.211,1,strong,strong,0,1,"443,8000",2,0,1,0,0,0,low,16,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,149.0,Critical,3
CCTV-00069,IP Camera,Vivotek,FD9389-EHTV,V15.5.82,2015,11,82.40.128.51,1,basic,none,1,1,"80,443,554,8080",4,0,1,0,0,1,low,57,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,192.0,Critical,3
CCTV-00070,IP Camera,Uniview,IPC6252SR-X5UG,V15.4.78,2015,11,157.135.107.197,1,no-auth,weak,0,1,"554,8000",2,1,0,1,0,1,medium,10,5,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow | SQL Injection,9.8,8.8,7.8,39,210.0,Critical,3
CCTV-00071,IP Camera,Vivotek,IP8160-W,V19.0.63,2019,7,91.176.204.34,0,no-auth,none,1,0,"443,8080",2,1,0,1,0,1,low,118,3,Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.63,5.33,16,158.0,Critical,3
CCTV-00072,IP Camera,Hanwha,XRN-2011,V18.1.40,2018,8,58.81.255.132,1,basic,weak,1,1,"443,554",2,0,0,1,1,0,high,83,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,148.0,Critical,3
CCTV-00073,IP Camera,Axis,P3265-LVE,V22.7.2,2022,4,37.220.68.226,1,basic,weak,1,1,"80,443,554",3,0,0,1,0,1,none,137,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,131.0,Critical,3
CCTV-00074,IP Camera,CP Plus,CP-VCG-SD10L2,V20.5.5,2020,6,34.201.191.204,1,basic,strong,1,1,"443,8080",2,0,0,1,1,0,none,30,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,127.0,Critical,3
CCTV-00075,IP Camera,CP Plus,CP-DGC-D13L2,V24.2.25,2024,2,140.250.153.122,0,strong,strong,1,1,"80,443,554,8080",4,0,0,1,0,1,medium,76,0,None,0.0,0.0,0.0,0,6.0,Low,0
CCTV-00076,IP Camera,Hanwha,XNP-6320H,V17.1.53,2017,9,168.194.75.211,0,no-auth,none,0,1,"443,4520",2,0,0,1,0,0,medium,13,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,161.0,Critical,3
CCTV-00077,NVR,Uniview,NVR304-32E-B,V15.1.24,2015,11,54.235.175.140,1,basic,weak,0,1,"80,443,8000",3,0,0,1,0,0,medium,122,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,157.0,Critical,3
CCTV-00078,IP Camera,CP Plus,CP-UVR-0401E1,V19.3.31,2019,7,98.74.148.11,1,basic,none,0,1,"443,554,8080,9000",4,1,1,1,0,0,low,139,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,178.0,Critical,3
CCTV-00079,IP Camera,CP Plus,CP-UNC-DA41L3,V17.7.83,2017,9,184.70.2.247,1,basic,weak,1,1,"80,554,8080,9000",4,1,0,1,0,0,none,13,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,159.0,Critical,3
CCTV-00080,IP Camera,Vivotek,CC8370-HV,V17.7.61,2017,9,111.253.95.240,0,no-auth,weak,1,0,"80,554",2,1,0,1,0,0,low,44,4,Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Path Traversal,9.8,8.17,6.0,24,169.0,Critical,3
CCTV-00081,IP Camera,Uniview,IPC6252SR-X5UG,V22.0.38,2022,4,96.151.98.45,0,strong,none,1,1,"80,443,554,8000",4,1,0,1,1,1,medium,65,3,Outdated Firmware | No Encryption | Path Traversal,9.8,8.37,6.0,18,129.0,Critical,3
CCTV-00082,IP Camera,Vivotek,IP8160-W,V21.8.41,2021,5,177.184.120.16,1,basic,strong,1,1,"80,443,8080",3,0,1,1,1,1,none,146,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,129.0,Critical,3
CCTV-00083,IP Camera,Uniview,IPC322LR3-VSPF40,V18.2.51,2018,8,180.111.126.175,0,no-auth,none,0,1,"80,443,554,8000",4,1,1,0,1,1,low,95,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,171.0,Critical,3
CCTV-00084,IP Camera,Hanwha,QNO-8080R,V18.8.90,2018,8,116.233.29.144,0,no-auth,strong,0,1,"80,443,554,4520",4,1,1,1,0,1,high,23,3,Outdated Firmware | SQL Injection | Path Traversal,9.8,8.8,6.0,18,156.0,Critical,3
CCTV-00085,IP Camera,Axis,P1455-LE,V20.6.32,2020,6,175.215.191.229,0,basic,weak,1,1,"80,443,554",3,0,1,1,1,0,medium,34,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,112.0,Critical,3
CCTV-00086,IP Camera,Axis,P3265-LVE,V22.6.48,2022,4,118.194.117.64,1,no-auth,none,1,0,"80,443,554",3,0,1,1,0,1,low,76,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.93,5.25,21,191.0,Critical,3
CCTV-00087,IP Camera,Axis,Q1615-E,V15.3.92,2015,11,148.111.28.36,0,strong,none,1,1,"80,554",2,1,0,1,0,0,low,12,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,155.0,Critical,3
CCTV-00088,IP Camera,Vivotek,SD9364-EHL,V16.9.40,2016,10,174.195.163.179,0,no-auth,none,1,0,"443,8080",2,1,0,1,1,0,medium,44,3,Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.63,5.33,16,172.0,Critical,3
CCTV-00089,IP Camera,Axis,M3067-P,V15.6.23,2015,11,104.47.97.14,0,basic,none,1,1,"80,443",2,1,1,1,0,0,low,52,3,Outdated Firmware | No Encryption | Buffer Overflow,9.8,8.8,8.33,25,165.0,Critical,3
CCTV-00090,IP Camera,CP Plus,CP-E24A,V19.9.5,2019,7,190.104.203.235,0,basic,none,0,1,"443,8080,9000",3,1,1,0,0,1,high,122,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,148.0,Critical,3
CCTV-00091,NVR,Dahua,DHI-NVR4216-16P,V16.4.48,2016,10,159.213.151.40,1,no-auth,weak,1,0,"80,443,554,8000,37777",5,0,0,1,1,0,medium,56,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Buffer Overflow,9.8,8.76,7.2,36,204.0,Critical,3
CCTV-00092,NVR,Dahua,DHI-XVR1B04,V16.9.31,2016,10,22.3.211.36,1,no-auth,none,1,0,"80,443,554,8000,37777",5,1,0,1,0,1,medium,15,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.9,5.4,27,222.0,Critical,3
CCTV-00093,IP Camera,Hanwha,XNV-8082R,V15.2.1,2015,11,188.220.91.28,1,basic,strong,1,1,"80,443,554,4520",4,1,0,1,0,1,medium,70,3,Default Credentials | Outdated Firmware | Buffer Overflow,9.8,9.57,8.0,24,160.0,Critical,3
CCTV-00094,IP Camera,Hikvision,DS-2CD2T85G1,V15.3.79,2015,11,24.4.87.22,1,no-auth,weak,1,0,"80,443,554,8080",4,0,0,1,1,0,none,8,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.68,6.0,24,192.0,Critical,3
CCTV-00095,IP Camera,Axis,M3067-P,V19.5.72,2019,7,63.73.203.238,0,no-auth,none,0,1,"80,443",2,1,1,1,0,0,none,8,3,Outdated Firmware | No Encryption | Path Traversal,9.8,8.37,6.0,18,173.0,Critical,3
CCTV-00096,IP Camera,Hikvision,DS-2CD1623G,V15.3.72,2015,11,125.251.116.92,1,basic,none,1,1,"80,443,554",3,1,0,1,1,1,high,101,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,175.0,Critical,3
CCTV-00097,IP Camera,Vivotek,IP8160-W,V17.9.84,2017,9,79.52.67.23,1,no-auth,weak,1,0,"80,443",2,1,0,1,0,0,low,81,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Buffer Overflow,9.8,8.76,7.2,36,209.0,Critical,3
CCTV-00098,IP Camera,Dahua,IPC-HDBW2831R,V17.8.65,2017,9,45.137.154.69,1,strong,weak,1,1,"80,554,8000,37777",4,1,0,1,1,0,medium,62,4,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow,9.8,8.8,8.25,33,174.0,Critical,3
CCTV-00099,IP Camera,Axis,P3245-LVE,V15.6.35,2015,11,122.171.220.209,0,basic,strong,1,1,"443,554",2,1,1,0,1,1,medium,85,1,Outdated Firmware,9.8,9.8,7.0,7,130.0,Critical,3
